,ID,Cocina,Rating
134,68,0,0.019938270974564562
137,69,1,0.013258230240690273
139,70,1,0.009571489182951521
140,71,0,0.0634352788099379
143,72,1,0.0034338038846705387
145,73,1,0.0005678955203332636
146,74,0,0.039094848090295495
148,75,0,0.020209883195027843
151,76,1,0.0005392999643213525
152,77,0,0.02130407112782585
154,78,0,0.020473164334761255
156,79,0,0.08313159154262718
158,80,0,0.019987432371153968
160,81,0,0.039094848090295495
163,82,1,0.007247010157210567
164,83,0,0.021831619070021062
167,84,1,0.009571489182951521
169,85,1,0.021523566692135537
171,86,1,0.0006048982778773382
172,87,0,0.020119384262641024
174,88,0,0.020046734653866142
176,89,0,0.020324672777832082
178,90,0,0.019987432371153968
181,91,1,0.0007143880763163934
183,92,1,0.0015525588692482017
185,93,1,0.0005586843599405336
187,94,1,0.017962039600103282
188,95,0,0.0634352788099379
190,96,0,0.020324672777832082
192,97,0,0.0634352788099379
194,98,0,0.0704074012410515
196,99,0,0.020046734653866142
199,100,1,0.0008474478896206505
201,101,1,0.0005586843599405336
203,102,1,0.000582048655183078
205,103,1,0.0005392999643213525
206,104,0,0.0704074012410515
208,105,0,0.020209883195027843
211,106,1,0.0005524315450513781
212,107,0,0.020324672777832082
214,108,0,0.0704074012410515
216,109,0,0.08313159154262718
218,110,0,0.07390026776884878
220,111,0,0.020324672777832082
222,112,0,0.07206650049253928
225,113,1,0.014478804520982111
227,114,1,0.0005524315450513781
228,115,0,0.08846236970710758
230,116,0,0.0634352788099379
233,117,1,0.016612802944745163
235,118,1,0.013258230240690273
237,119,1,0.02610741196952646
239,120,1,0.002294038486367846
240,121,0,0.020473164334761255
243,122,1,0.0006048982778773382
244,123,0,0.020209883195027843
246,124,0,0.06862576603874605
249,125,1,0.0010998617987515332
251,126,1,0.016612802944745163
252,127,0,0.03301833774776618
254,128,0,0.07390026776884878
256,129,0,0.020046734653866142
259,130,1,0.0005392999643213525
261,131,1,0.0005392999643213525
263,132,1,0.009571489182951521
265,133,1,0.0005678955203332636
267,134,1,0.0010998617987515332
268,135,0,0.07390026776884878
271,136,1,0.013258230240690273
272,137,0,0.020473164334761255
274,138,0,0.025641540045855823
277,139,1,0.0034338038846705387
278,140,0,0.025641540045855823
281,141,1,0.0005524315450513781
283,142,1,0.014478804520982111
284,143,0,0.020209883195027843
286,144,0,0.05975339843420946
288,145,0,0.05125446362130375
290,146,0,0.019938270974564562
293,147,1,0.002294038486367846
294,148,0,0.020119384262641024
296,149,0,0.028559202326338975
298,150,0,0.020669431141921935
300,151,0,0.028559202326338975
302,152,0,0.028559202326338975
304,153,0,0.03301833774776618
307,154,1,0.0007143880763163934
309,155,1,0.0007143880763163934
310,156,0,0.07390026776884878
312,157,0,0.06639229377423907
315,158,1,0.000582048655183078
316,159,0,0.05975339843420946
319,160,1,0.009571489182951521
321,161,1,0.021523566692135537
323,162,1,0.000544848347847818
325,163,1,0.005094185378934588
326,164,0,0.025641540045855823
328,165,0,0.05568323764523088
330,166,0,0.02130407112782585
332,167,0,0.07206650049253928
334,168,0,0.04570397601515575
336,169,0,0.020119384262641024
338,170,0,0.05975339843420946
340,171,0,0.021831619070021062
343,172,1,0.0006439048925888955
344,173,0,0.06862576603874605
346,174,0,0.08846236970710758
348,175,0,0.020119384262641024
350,176,0,0.05975339843420946
353,177,1,0.016612802944745163
354,178,0,0.05568323764523088
357,179,1,0.0034338038846705387
358,180,0,0.028559202326338975
360,181,0,0.020324672777832082
363,182,1,0.014478804520982111
364,183,0,0.020473164334761255
366,184,0,0.023792727450727014
369,185,1,0.000544848347847818
371,186,1,0.017962039600103282
372,187,0,0.07390026776884878
375,188,1,0.005094185378934588
376,189,0,0.0704074012410515
378,190,0,0.020209883195027843
381,191,1,0.005094185378934588
383,192,1,0.0005678955203332636
384,193,0,0.04570397601515575
387,194,1,0.016612802944745163
389,195,1,0.0005406869231263233
391,196,1,0.0005586843599405336
392,197,0,0.020935058936768232
